athlete_id,exceptions,family_name,gender,given_name,name,npc,s,sb,sdms_id,season,season_label,sm,status
0216e7e5ee21d476,"12, +",Parwani,M,Khan Agha,Khan Agha Parwani,AFG,S7,SB6,33729,S25,Summer Season 2025,SM7,C
349f46e6b0bcff72,"3, 4",Acevedo Silva,F,Samara Guadalupe,Samara Guadalupe Acevedo Silva,ARG,S10,SB9,56929,S25,Summer Season 2025,SM10,C
764ec2def8889fc7,-,Alonso,F,Milagros,Milagros Alonso,ARG,S14,SB14,30123,S25,Summer Season 2025,SM14,C
4b1b7083af797ea5,"1, 2, 4",Aragon Diani,F,Maria Jazmin,Maria Jazmin Aragon Diani,ARG,S8,SB8,41367,S25,Summer Season 2025,SM8,C
5b2bce10facc353e,H,Araya,M,Elian,Elian Araya,ARG,S14,SB14,19086,S25,Summer Season 2025,SM14,C
f3730bda7c845a80,"A, 12, +",Arevalo,M,German,German Arevalo,ARG,S6,SB5,32484,S25,Summer Season 2025,SM6,C
c73503c9d95b5971,"A, 12",Arregui,M,Facundo Jose,Facundo Jose Arregui,ARG,S7,SB6,19275,S25,Summer Season 2025,SM7,C
201466ca9d651ec4,"T, B",Baez,F,Nadia,Nadia Baez,ARG,S11,SB11,6532,S25,Summer Season 2025,SM11,C
2834e2a5789cd9b4,"12, +",Basiloff,M,Inaki,Inaki Basiloff,ARG,S7,SB6,23588,S25,Summer Season 2025,SM7,C
e4b5ca412b693cea,-,Benelli,M,Gustavo Valentin,Gustavo Valentin Benelli,ARG,S8,SB7,30885,S25,Summer Season 2025,SM8,N
707c4d8f24e21cda,"1, 3, 5",Bentancor,F,Shamira Luana,Shamira Luana Bentancor,ARG,S9,SB8,56930,S25,Summer Season 2025,SM9,R-2026
122b62c6b8b66792,"12, +",Burgos Pierantoni,M,Bautista Tiziano,Bautista Tiziano Burgos Pierantoni,ARG,S9,SB8,67039,S25,Summer Season 2025,SM9,R-2027
95bbfe8607c22dbc,"A, 12, +",Carlomagno,M,Pipo,Pipo Carlomagno,ARG,S8,SB7,15219,S25,Summer Season 2025,SM8,R-2027
0ab03389ee13d31c,-,Colacray,M,Lucas Emanuel,Lucas Emanuel Colacray,ARG,S5,SB5,41368,S25,Summer Season 2025,SM5,N
c222bca28c1d1239,"3, 5",Cordoba,M,Lautaro,Lautaro Cordoba,ARG,S8,SB7,56931,S25,Summer Season 2025,SM8,C
11cb1b8f508e3b9c,8,Costa,M,Bautista,Bautista Costa,ARG,S10,SB9,56932,S25,Summer Season 2025,SM10,R-2026
6f34f552dc88ae2c,12,de Andrade,M,Matias,Matias de Andrade,ARG,S6,SB5,7455,S25,Summer Season 2025,SM6,C
19a3fb1e57b3fea5,A,Di Toro,M,Lorenzo,Lorenzo Di Toro,ARG,S8,SB7,56975,S25,Summer Season 2025,SM8,R
c77e0c9d2bae4b7d,"12, +",Escala Ochoa,M,Santino,Santino Escala Ochoa,ARG,S7,SB7,67024,S25,Summer Season 2025,SM7,R-2027
c3c721fb8a1d55f6,"1, 2, 4, 12, +",Esci,M,Pablo,Pablo Esci,ARG,S6,SB5,30583,S25,Summer Season 2025,SM6,R-2022
0a8142d02e6707ce,"3, 5, 12, +",Fangio,M,Tomas Santiago,Tomas Santiago Fangio,ARG,S8,SB7,67417,S25,Summer Season 2025,SM8,R-2027
3ab39b09bb5894d0,-,Ferreira,M,Paul Gabriel,Paul Gabriel Ferreira,ARG,S14,SB14,67035,S25,Summer Season 2025,SM14,R
7119dfce7531fd3c,12,Ferreiro,M,Leandro Michel,Leandro Michel Ferreiro,ARG,S6,SB5,52130,S25,Summer Season 2025,SM6,C
e2d8bf4c73ef9e7d,"A, 12",Forlano,F,Tiziana,Tiziana Forlano,ARG,S6,SB5,56934,S25,Summer Season 2025,SM6,R-2029
