athlete_id,exceptions,family_name,gender,given_name,name,npc,s,sb,sdms_id,sm,status
595818e5fb0d1ca6,"12, +",Parwani,M,Khan Agha,Khan Agha Parwani,AFG,S7,SB6,33729,SM7,C
13550d2c04454825,"3, 4",Acevedo Silva,F,Samara Guadalupe,Samara Guadalupe Acevedo Silva,ARG,S10,SB9,56929,SM10,C
4323fdeced96129f,-,Alonso,F,Milagros,Milagros Alonso,ARG,S14,SB14,30123,SM14,C
0c00d401d5086d16,"1, 2, 4",Aragon Diani,F,Maria Jazmin,Maria Jazmin Aragon Diani,ARG,S8,SB8,41367,SM8,C
49c6dd876cc507b1,H,Araya,M,Elian,Elian Araya,ARG,S14,SB14,19086,SM14,C
b5fb498d3e08d234,"A, 12, +",Arevalo,M,German,German Arevalo,ARG,S6,SB5,32484,SM6,C
47d6a2ab141995e3,"A, 12",Arregui,M,Facundo Jose,Facundo Jose Arregui,ARG,S7,SB6,19275,SM7,C
abd598cd926c6976,"T, B",Baez,F,Nadia,Nadia Baez,ARG,S11,SB11,6532,SM11,C
77bcc9bec438f300,"12, +",Basiloff,M,Inaki,Inaki Basiloff,ARG,S7,SB6,23588,SM7,C
170c5720493b8c6d,"1, 3, 5",Bentancor,F,Shamira Luana,Shamira Luana Bentancor,ARG,S9,SB8,56930,SM9,R-2026
a2f6fc1479a70f8c,"12, +",Burgos Pierantoni,M,Bautista Tiziano,Bautista Tiziano Burgos Pierantoni,ARG,S9,SB8,67039,SM9,R-2027
8a7c62f05a9731d7,"A, 12, +",Carlomagno,M,Pipo,Pipo Carlomagno,ARG,S8,SB7,15219,SM8,R-2027
e4f8258675fb5f20,-,Colacray,M,Lucas Emanuel,Lucas Emanuel Colacray,ARG,S5,SB5,41368,SM5,N
a2a218034eefb0c3,"3, 5",Cordoba,M,Lautaro,Lautaro Cordoba,ARG,S8,SB7,56931,SM8,C
c93386c6ca61e1ec,8,Costa,M,Bautista,Bautista Costa,ARG,S10,SB9,56932,SM10,R-2026
2f86d7e1a2cbeca9,12,de Andrade,M,Matias,Matias de Andrade,ARG,S6,SB5,7455,SM6,C
3ed0d348fe4b6473,-,Deroy,F,Amira Yesmin,Amira Yesmin Deroy,ARG,S9,SB8,69051,SM9,N
c6892ff84c5505f4,A,Di Toro,M,Lorenzo,Lorenzo Di Toro,ARG,S8,SB7,56975,SM8,R
f126e3e031473e6b,"12, +",Escala Ochoa,M,Santino,Santino Escala Ochoa,ARG,S7,SB7,67024,SM7,R-2027
f298de1c23738549,"1, 2, 4, 12, +",Esci,M,Pablo,Pablo Esci,ARG,S6,SB5,30583,SM6,R-2022
5638d8f560199f4d,"3, 5, 12, +",Fangio,M,Tomas Santiago,Tomas Santiago Fangio,ARG,S8,SB7,67417,SM8,R-2027
988e08b66776c1da,-,Ferreira,M,Paul Gabriel,Paul Gabriel Ferreira,ARG,S14,SB14,67035,SM14,R
9adf17d1af3cc015,12,Ferreiro,M,Leandro Michel,Leandro Michel Ferreiro,ARG,S6,SB5,52130,SM6,C
1b73526413b4e003,"A, 12",Forlano,F,Tiziana,Tiziana Forlano,ARG,S6,SB5,56934,SM6,R-2029
87562ad37719f67e,"A, 3, 5, 12",Gomez,M,Franco Sebastian,Franco Sebastian Gomez,ARG,S4,SB3,30884,SM4,C
e509b7ece019898c,"1, 2, 4",Gomez,F,Rocio Daiana,Rocio Daiana Gomez,ARG,S8,SB8,56935,SM8,C
a0f59d56d1322136,T,Herrero,F,Manuela,Manuela Herrero,ARG,S12,SB12,66993,SM12,R-2027
ac3954fda673c869,"3, 5, 12, +",Ibarra,F,Paula,Paula Ibarra,ARG,S10,SB9,56937,SM10,C
9de78a46af22f78c,"A, 12",Insaurralde,M,Santino Ananias,Santino Ananias Insaurralde,ARG,S5,SB4,66992,SM5,R
309d89b5b8f93c75,-,Ledesma,M,Jose Valentin,Jose Valentin Ledesma,ARG,S8,SB8,69053,SM8,N
a0efe2197e7b2aef,"1, 3, 5",Leguiza,M,Lucas,Lucas Leguiza,ARG,S9,SB8,56938,SM9,R-2026
d6746c831d23e2ad,"3, 5",Leiva,M,Joaquin,Joaquin Leiva,ARG,S9,SB9,61983,SM9,R-2026
50e638a9daef8b81,"3, 5, 12, +",Lombardi,M,Mariano Jorge,Mariano Jorge Lombardi,ARG,S9,SB9,56939,SM9,C
b695b75b195d6538,"1, 3, 5",Lopez,F,Thiara,Thiara Lopez,ARG,S9,SB9,67295,SM9,R-2029
3098030a30bee2f6,H,Maidana Cancinos,M,Lautaro Daniel,Lautaro Daniel Maidana Cancinos,ARG,S14,SB14,30122,SM14,C
d072244422bedeaf,-,Mantz,M,Inti Niyen,Inti Niyen Mantz,ARG,S14,SB14,67316,SM14,R
bf941218925dd0c9,T,Medina,M,Franco Samuel,Franco Samuel Medina,ARG,S12,SB12,20317,SM12,R-2023
5421798b4a9ecd98,"T, B",Medina,M,Mario,Mario Medina,ARG,S11,SB11,27078,SM11,C
a9663c7bfd75327b,5,Nieto,M,Nicolas Matias,Nicolas Matias Nieto,ARG,S10,NE,30121,NE,C
8a5209da5302b5c7,"A, 3, 5, 12",Noriega,F,Elizabeth,Elizabeth Noriega,ARG,S5,SB5,20596,SM5,C
f4de3d632a2811ac,-,Nunez,M,Lautaro Ezequiel,Lautaro Ezequiel Nunez,ARG,S14,SB14,67036,SM14,R
eb961bdce5113ab0,"1, 3, 5",Orellana,F,Dahiana,Dahiana Orellana,ARG,S9,SB9,61984,SM9,R-2027
8e2f4e2768a8bc35,"T, B",Pellitero,F,Analuz,Analuz Pellitero,ARG,S11,SB11,20144,SM11,R-2027
010822b80222daf8,"T, B",Piazza,M,Gabriel,Gabriel Piazza,ARG,S11,SB11,56940,SM11,R-2027
c661f587fd53b168,"A, 3, 5, 12",Ricci,M,Nicolas Carlos,Nicolas Carlos Ricci,ARG,S4,SB3,30626,SM4,R-2029
666f813b4a5fa620,"A, 12",Rivero,M,Nicolas,Nicolas Rivero,ARG,S5,SB4,30592,SM5,C
fc67b5bfa7092e15,5,Roisman Pechersky,F,Alma,Alma Roisman Pechersky,ARG,S10,NE,67023,NE,C
7e83d02a76479ec0,-,Roldan,F,Ludmila Belen,Ludmila Belen Roldan,ARG,S4,SB4,56942,SM4,N
5949ee8c9be9a505,-,Scalise,M,Bautista,Bautista Scalise,ARG,S14,SB14,32483,SM14,R
df751836ed030c41,"3, 5",Senestro,M,Santiago Gabriel,Santiago Gabriel Senestro,ARG,S10,SB9,41369,SM10,C
5617f6cec5ad2826,"T, B",Turanzas,F,Mia Isabella,Mia Isabella Turanzas,ARG,S11,SB11,66994,SM11,R-2029
12f842dc6ec75484,"1, 3, 5",Vives,M,Mateo,Mateo Vives,ARG,S9,SB9,56944,SM9,R-2026
1aab19e5d957d8ad,"A, Y, 12",Zambrana,M,Jonathan Hernan,Jonathan Hernan Zambrana,ARG,S5,SB4,66991,SM5,R-2027
01dc03e883a7a8ac,"T, B",Zayas,M,Sergio,Sergio Zayas,ARG,S11,SB11,6708,SM11,C
373e189870cc7c0a,"A, Y, E, 7",Mikayelyan,M,Garik,Garik Mikayelyan,ARM,S5,SB6,60275,SM5,C
17aabce1a952e410,0,Alford,M,Joshua,Joshua Alford,AUS,S14,SB14,22327,SM14,C
fa559be30f1b5392,-,Andronicus,M,Nathan,Nathan Andronicus,AUS,S14,SB14,68516,SM14,N
