Rank,Name,NPC,Birth,Time,Date,City,Country,#,Sport Gender,Class
1,"Scott, Weggemann, Long, Owens",USA,,5:00.68,19 August 2010,Eindhoven,Netherlands,,,
,W,1,S7,W,1992,S8,2,WEGGEMANN Mallory,1989,4
1,LONG Jessica,W,1992,S8,,,,,,
2,OWENS Ashley,W,1989,S10,,,,,,
3,SCOTT Susan Beth,W,1992,S10,,,,,,
4,WEGGEMANN Mallory,W,1989,S7,,,,,,
2,"Millward, Lee, Cashmore, Simmonds",GBR,,5:00.93,19 August 2010,Eindhoven,Netherlands,,,
,W,1,S10,W,1994,S6,2,LEE Harriet,1991,4
1,SIMMONDS Eleanor,W,1994,S6,,,,,,
2,CASHMORE Claire,W,1988,S9,,,,,,
3,MILLWARD Stephanie,W,1981,S9,,,,,,
4,LEE Harriet,W,1991,S10,,,,,,
3,"Ryabova, Vladykina, Grazhdanova, Guseva",RUS,,5:02.26,19 August 2010,Eindhoven,Netherlands,,,
,W,1,S10,W,1989,S7,2,RYABOVA Nina,1992,4
1,GUSEVA Oxana,W,1989,S7,,,,,,
2,VLADYKINA Olesia,W,1988,S8,,,,,,
3,GRAZHDANOVA Irina,W,1987,S9,,,,,,
4,RYABOVA Nina,W,1992,S10,,,,,,
4,"Dun, Jiang, Jin, Lin",CHN,,5:09.27,19 August 2010,Eindhoven,Netherlands,,,
,W,1,S9,W,1991,S8,2,LIN Ping,1994,4
1,JIANG Shengnan,W,1991,S8,,,,,,
2,JIN Xiaoqin,W,1991,S8,,,,,,
3,DUN Longjuan,W,1993,S9,,,,,,
4,LIN Ping,W,1994,S9,,,,,,
5,"Castello Farre, Rubio Zavala, Gascon, Morales",ESP,,5:15.91,19 August 2010,Eindhoven,Netherlands,,,
,W,1,S10,W,1990,S6,2,RUBIO ZAVALA Ana,1993,4
1,CASTELLO FARRE Julia,W,1990,S6,,,,,,
2,GASCON Sarai,W,1992,S9,,,,,,
3,MORALES Esther,W,1985,S10,,,,,,
4,RUBIO ZAVALA Ana,W,1993,S10,,,,,,
6,"Gral, Didier, Lorandi, Fatis",FRA,,5:18.45,19 August 2010,Eindhoven,Netherlands,,,
,W,1,S10,W,1963,S5,2,LORANDI Elodie,1989,4
1,FATIS Anita,W,1963,S5,,,,,,
2,GRAL Emilie,W,1986,S9,,,,,,
3,DIDIER Maud,W,1992,S10,,,,,,
4,LORANDI Elodie,W,1989,S10,,,,,,
7,"Levy, Cochrane, Hall, Tidy",AUS,,5:19.65,19 August 2010,Eindhoven,Netherlands,,,
,M,1,S10,M,1991,S8,2,TIDY Jeremy,1987,4
1,COCHRANE Blake,M,1991,S8,,,,,,
2,LEVY Matthew,M,1987,S7,,,,,,
3,HALL Brenden,M,1993,S9,,,,,,
4,TIDY Jeremy,M,1987,S10,,,,,,
8,"Oosterhuis, den Braber, Molenkamp, de Koning-Peper",NED,,5:31.33,19 August 2010,Eindhoven,Netherlands,,,
,W,1,S10,W,1969,S6,2,OOSTERHUIS Marije,1995,4
1,DE KONING-PEPER Mirjam,W,1969,S6,,,,,,
2,DEN BRABER Lisa,W,1992,S8,,,,,,
3,MOLENKAMP Chantal,W,1990,S10,,,,,,
4,OOSTERHUIS Marije,W,1995,S10,,,,,,
9,"Reppe, Bruhn, Weinberg, Schott",GER,,5:38.27,19 August 2010,Eindhoven,Netherlands,,,
,W,1,S9,W,1969,S7,2,REPPE Christiane,1987,4
1,BRUHN Kirsten,W,1969,S7,,,,,,
2,SCHOTT Verena,W,1989,S7,,,,,,
3,WEINBERG Stefanie,W,1991,S8,,,,,,
4,REPPE Christiane,W,1987,S9,,,,,,
10,"Berube, Roxon, Skieneh, Mehain",CAN,,5:39.03,19 August 2010,Eindhoven,Netherlands,,,
,W,1,S9,W,1995,S7,2,SKIENEH Jenna,1993,4
1,MEHAIN Sarah,W,1995,S7,,,,,,
2,BERUBE Camille,W,1995,S8,,,,,,
3,ROXON Katarina,W,1993,S9,,,,,,
4,SKIENEH Jenna,W,1993,S9,,,,,,
11,"Sapiro, Gray, Du Toit, Visser",RSA,,5:48.45,19 August 2010,Eindhoven,Netherlands,,,
,W,1,S10,W,1988,S5,2,SAPIRO Shireen,1991,4
1,VISSER Adri,W,1988,S5,,,,,,
2,DU TOIT Natalie,W,1984,S9,,,,,,
3,GRAY Emily,W,1991,S9,,,,,,
4,SAPIRO Shireen,W,1991,S10,,,,,,
12,"Garcia, Cruz, Almeida, Silva",BRA,,7:47.33,18 June 2010,Berlin,Germany,,,
,W,1,S5,W,1987,S4,2,DA SILVA NEVES EUZEBIO Joana Maria Jaciara,1987,4
1,NOGUEIRA GARCIA Edenia,W,1987,S4,,,,,,
2,CRUZ Ana Clara,W,1991,SB4,,,,,,
3,ALMEIDA Veronica,W,1975,S7,,,,,,
4,DA SILVA NEVES EUZEBIO Joana Maria Jaciara,W,1987,S5,,,,,,
