Rank,Name,NPC,Birth,Time,Date,City,Country
1,COWDREY Matthew,AUS,1988,0:24.78,17 July 2010,Sydney,Australia
2,MORLACCHI Federico,ITA,1993,0:27.04,28 February 2010,Naples,Italy
3,HILL David,GBR,1989,0:27.50,21 November 2010,Sheffield,Great Britain
4,AUPRINCE Michael,AUS,1993,0:27.55,17 July 2010,Sydney,Australia
5,CRISP James,GBR,1982,0:27.77,21 November 2010,Sheffield,Great Britain
6,HALL Brenden,AUS,1993,0:27.78,17 July 2010,Sydney,Australia
7,MICUNCO Vincenzo,ITA,1988,0:28.85,28 February 2010,Naples,Italy
8,VAN DEN END Thijs,NED,1993,0:28.86,3 December 2010,Amsterdam,Netherlands
9,PETERS Morgyn,GBR,1996,0:29.31,21 November 2010,Sheffield,Great Britain
10,RECALCATI Marco,ITA,1994,0:29.82,28 February 2010,Naples,Italy
11,WYLIE Matthew,GBR,1996,0:30.11,21 November 2010,Sheffield,Great Britain
12,CESARONI Simone,ITA,1978,0:30.68,28 February 2010,Naples,Italy
13,KOWALEWSKI Pascal,GER,1994,0:31.03,13 November 2010,Remscheid,Germany
14,HELLER Jens,GER,1994,0:31.29,13 November 2010,Remscheid,Germany
15,HOCHENBERGER Philip,AUT,1992,0:31.51,11 September 2010,Waedenswil,Switzerland
16,HEAHER Isaac,GBR,1995,0:31.85,17 July 2010,Llandudno,Great Britain
17,FLOORS Johannes,GER,1995,0:32.16,13 November 2010,Remscheid,Germany
18,HERMANNSSON Gudmundur,ISL,1993,0:32.73,14 February 2010,Malmo,Sweden
19,BENDLE Adam,GBR,1990,0:33.29,21 November 2010,Sheffield,Great Britain
20,BOER Simon,NED,1995,0:33.43,27 June 2010,Drachten,Netherlands
21,BARTNIK Mateusz,POL,1996,0:35.18,2 October 2010,Warsaw,Poland
22,HIRSE Yannick,GER,1996,0:35.53,13 November 2010,Remscheid,Germany
23,VAN DE LOGT Erik,GER,1996,0:36.60,13 November 2010,Remscheid,Germany
24,ZOTTI Daniele,ITA,1969,0:41.60,14 March 2010,Padova,Italy
25,TERZI Federico,ITA,1978,0:43.84,28 February 2010,Naples,Italy
