Rank,Name,NPC,Birth,Time,Date,City,Country,#,Sport Gender,Class
1,Australia,AUS,,3:51.44,10 August 2014,Pasadena,United States of America,,,
,M,1,S9,M,1991,S8,2,CROTHERS Rowan,1997,4
1,COCHRANE Blake,M,1991,S8,,,,,,
2,LEVY Matthew,M,1987,S7,,,,,,
3,PASTERFIELD Andrew,M,1989,S10,,,,,,
4,CROTHERS Rowan,M,1997,S9,,,,,,
2,Russia,RUS,,3:52.16,9 August 2014,Eindhoven,Netherlands,,,
,M,1,S8,M,1989,S8,2,TARASOV Denis,1993,4
1,LISENKOV Konstantin,M,1989,S8,,,,,,
2,DEMIANENKO Aleksandr,M,1993,S9,,,,,,
3,SKALIUKH Alexander,M,1994,S9,,,,,,
4,TARASOV Denis,M,1993,S8,,,,,,
3,Brazil,BRA,,3:58.22,10 August 2014,Pasadena,United States of America,,,
,M,1,S9,M,1993,S9,2,GONCALVES SILVA Ruiter Antonio,1992,4
1,FILHO Vanilton,M,1993,S9,,,,,,
2,MELO RODRIGUES Phelipe Andrews,M,1990,S10,,,,,,
3,GLOCK Talisson Henrique,M,1995,S6,,,,,,
4,GONCALVES SILVA Ruiter Antonio,M,1992,S9,,,,,,
4,Ukraine,UKR,,4:00.20,9 August 2014,Eindhoven,Netherlands,,,
,M,1,S10,M,1994,S7,2,VANZENKO Dmytro,1996,4
1,BOHODAIKO Yevhenii,M,1994,S7,,,,,,
2,KVASNYTSIA Marian,M,1992,S7,,,,,,
3,DUBROV Denys,M,1989,S10,,,,,,
4,VANZENKO Dmytro,M,1996,S10,,,,,,
5,Great Britain,GBR,,4:02.41,9 August 2014,Eindhoven,Netherlands,,,
,M,1,S8,M,1977,S6,2,CRAIG Josef,1997,4
1,KINDRED Sascha,M,1977,S6,,,,,,
2,HOLLIS James,M,1994,S10,,,,,,
3,WELBOURN Robert,M,1987,S10,,,,,,
4,CRAIG Josef,M,1997,S8,,,,,,
6,United States of America,USA,,4:06.07,10 August 2014,Pasadena,United States of America,,,
,M,1,S10,M,1992,S8,2,SILVERMAN Ian,1995,4
1,AUSTIN Evan,M,1992,S8,,,,,,
2,BUREAU Cody,M,1988,S9,,,,,,
3,MCCRORY Lucas,M,1994,S7,,,,,,
4,SILVERMAN Ian,M,1995,S10,,,,,,
7,Spain,ESP,,4:07.76,9 August 2014,Eindhoven,Netherlands,,,
,M,1,S10,M,1957,S5,2,GIRALT CANO Joan,1993,4
1,RODRIGUEZ Sebastian,M,1957,S5,,,,,,
2,MARI ALCARAZ Jose Antonio,M,1988,S9,,,,,,
3,LEVECQ David,M,1984,S10,,,,,,
4,GIRALT CANO Joan,M,1993,S10,,,,,,
8,People's Republic of China,CHN,,4:11.70,23 October 2014,Incheon,South Korea,,,
,M,1,S8,M,1992,S10,2,WANG Yinan,1989,4
1,LIN Furong,M,1992,S10,,,,,,
2,PAN Shiyun,M,1989,S7,,,,,,
3,SONG Maodang,M,1993,S8,,,,,,
4,WANG Yinan,M,1989,S8,,,,,,
9,Canada,CAN,,4:15.31,10 August 2014,Pasadena,United States of America,,,
,M,1,S8,M,1981,S6,2,ZONA Zach,1998,4
1,PURDY Adam,M,1981,S6,,,,,,
2,HUOT Benoit,M,1984,S10,,,,,,
