Rank,Name,NPC,Birth,Time,Date,City,Country
1,CROTHERS Rowan,AUS,1997,0:54.28,8 April 2015,Sydney,Australia
2,SKALIUKH Alexander,RUS,1994,0:56.97,14 July 2015,Glasgow,Great Britain
3,HALL Brenden,AUS,1993,0:57.15,19 April 2015,Berlin,Germany
4,MORLACCHI Federico,ITA,1993,0:57.29,14 July 2015,Glasgow,Great Britain
5,MARI ALCARAZ Jose Antonio,ESP,1988,0:57.67,26 March 2015,Glasgow,Great Britain
6,FILHO Vanilton,BRA,1993,0:57.85,14 August 2015,Toronto,Canada
7,TOTH Tamas,HUN,1992,0:57.94,14 July 2015,Glasgow,Great Britain
8,GUO Zhi,CHN,1989,0:58.01,15 September 2015,Chengdu,China
9,YAMADA Takuro,JPN,1991,0:58.05,14 July 2015,Glasgow,Great Britain
10,WYLIE Matthew,GBR,1996,0:58.12,2 August 2015,Sheffield,Great Britain
11,LAHTEENMAKI Leo,FIN,1991,0:58.45,26 April 2015,Vaasa,Finland
12,KALINA Andrei,RUS,1987,0:58.47,9 April 2015,Ramenskoe,Russia
13,DISKEN Timothy,AUS,1996,0:58.54,8 April 2015,Sydney,Australia
14,GONCALVES SILVA Ruiter Antonio,BRA,1992,0:58.65,14 July 2015,Glasgow,Great Britain
15,COX Oliver,AUS,1997,0:58.66,1 March 2015,Sydney,Australia
16,CROUCH Ryan,GBR,1994,0:58.67,12 December 2015,Manchester,Great Britain
17,GRACHAT David,POR,1987,0:59.01,26 March 2015,Glasgow,Great Britain
18=,VINCETIC Kristijan,CRO,1991,0:59.10,19 April 2015,Berlin,Germany
18=,WHITE Lewis,GBR,2000,0:59.10,2 August 2015,Sheffield,Great Britain
20,WANG Jie,CHN,1996,0:59.25,15 September 2015,Chengdu,China
21,BOOTH Jonathan,GBR,1998,0:59.50,2 August 2015,Sheffield,Great Britain
22,BUREAU Cody,USA,1988,0:59.54,14 July 2015,Glasgow,Great Britain
23,SAMARIN Eduard,RUS,1987,0:59.94,9 April 2015,Ramenskoe,Russia
24,DEMIANENKO Aleksandr,RUS,1993,1:00.02,14 July 2015,Glasgow,Great Britain
25,MOZGOVOI Bogdan,RUS,2000,1:00.07,9 April 2015,Ramenskoe,Russia
26,MICHALENTZAKIS Dimosthenis,GRE,1998,1:00.11,26 March 2015,Glasgow,Great Britain
27,VAN DUUREN Tim,NED,1998,1:00.48,11 December 2015,Amsterdam,Netherlands
28,HODGE Timothy,AUS,2001,1:00.62,12 December 2015,Bismarck,United States of America
29,SILVA Matheus,BRA,1994,1:00.63,14 August 2015,Toronto,Canada
30,TAVARES DOS SANTOS Eric,BRA,1996,1:00.91,23 April 2015,Sao Paulo,Brazil
31,VAN DEN END Thijs,NED,1993,1:01.21,2 April 2015,Eindhoven,Netherlands
32,NOGUEIRA Victor Alan,BRA,1992,1:01.34,23 April 2015,Sao Paulo,Brazil
33,REYNOLDS Jesse,NZL,1996,1:01.43,17 April 2015,Auckland,New Zealand
34,VO Huynh Anh Khoa,VIE,1991,1:01.45,5 December 2015,Singapore,Singapore
35,ARBUTHNOTT Christopher,NZL,1998,1:01.64,20 December 2015,Auckland,New Zealand
36,FONTAYNE Bastian,GER,1997,1:01.65,5 April 2015,Eindhoven,Netherlands
37,CASTILLO ESTEVEZ Juan,CUB,1998,1:01.70,14 August 2015,Toronto,Canada
38,PREZZI Yuri,ITA,1994,1:01.72,5 December 2015,Szczecin,Poland
39,MEILINGER Csaba,HUN,1993,1:02.01,7 March 2015,Alcorcon (Madrid),Spain
40,ROSADO RODRIGUEZ Abel,ESP,1997,1:02.03,7 March 2015,Alcorcon (Madrid),Spain
41,MOZELA Lucas Lamente,BRA,1997,1:02.12,8 November 2015,Sao Paulo,Brazil
42,SORS Tamas,HUN,1991,1:02.19,17 May 2015,Eger,Hungary
