Rank,Name,NPC,Birth,Time,Date,City,Country
1,KONKOLY Michelle,USA,1992,1:01.75,11 June 2017,Indianapolis,United States of America
2,GASCON Sarai,ESP,1992,1:03.07,4 December 2017,Mexico City,Mexico
3,MARQUES SOTO Nuria,ESP,1999,1:03.52,4 December 2017,Mexico City,Mexico
4,COLE Ellie,AUS,1991,1:03.55,4 October 2017,Toronto,Canada
5,TAI Alice,GBR,1999,1:03.75,27 April 2017,Sheffield,Great Britain
6,BEECROFT Emily,AUS,1999,1:04.20,4 October 2017,Toronto,Canada
7,SHAW Toni,GBR,2003,1:05.67,27 July 2017,Sheffiled,Great Britain
8,SIMS Natalie,USA,1997,1:05.95,4 December 2017,Mexico City,Mexico
9,MCCONNELL Ashleigh,AUS,1996,1:05.99,9 April 2017,Brisbane,Australia
10,VERMARIEN Manon,NED,1997,1:06.03,8 April 2017,Eindhoven,Netherlands
11,ROXON Katarina,CAN,1993,1:06.20,4 October 2017,Toronto,Canada
12,ELLIOTT Maddison,AUS,1998,1:06.66,11 June 2017,Indianapolis,United States of America
13,XU Jialing,CHN,2002,1:06.96,4 December 2017,Mexico City,Mexico
14,SUPIOT Claire,FRA,1968,1:07.41,27 May 2017,SCHILTIGHEIM,France
15,MARKKANEN Jessika,FIN,1999,1:07.42,27 April 2017,Sheffield,Great Britain
16,RODRIGUES FERREIRA CRUZ Camille,BRA,1992,1:07.63,29 October 2017,Sao Paulo,Brazil
17,ICHINOSE Mei,JPN,1997,1:08.67,3 September 2017,Tokyo,Japan
18,KONKOLY Zsofia,HUN,2002,1:08.76,7 July 2017,Berlin,Germany
19,MORISHITA Yuki,JPN,1996,1:09.01,3 September 2017,Tokyo,Japan
20,ASPDEN Hannah,USA,2000,1:09.14,4 December 2017,Mexico City,Mexico
21,MORLEY Elise,USA,2000,1:09.46,17 December 2017,"Charlotte, NC",United States of America
22,CROOK Alyssia,USA,1998,1:09.78,17 December 2017,"Charlotte, NC",United States of America
23,PALAZZO Xenia Francesca,ITA,1998,1:09.89,20 May 2017,Lignano Sabbiadoro,Italy
24,GKOULI Efthymia,GRE,1996,1:10.14,7 July 2017,Berlin,Germany
25,SCOTT Madeleine,AUS,1993,1:10.17,5 March 2017,Homebush,Australia
26,GIMENEZ Daniela,ARG,1992,1:10.30,20 May 2017,Buenos Aires,Argentina
27,WEISS Julia,BRA,1989,1:10.34,22 April 2017,Sao Paulo,Brazil
28,GONZALEZ Mailyn,CHI,1999,1:10.49,21 March 2017,Sao Paulo,Brazil
29,ETIENNE Lucie,FRA,2001,1:10.72,27 May 2017,SCHILTIGHEIM,France
30,HOPKINS Molly,GBR,2003,1:10.77,22 October 2017,Swansea,Great Britain
31,KETKEAW Anchaya,THA,1998,1:11.49,4 December 2017,Mexico City,Mexico
