Rank,Name,NPC,Birth,Time,Date,City,Country
1,SCORTECHINI Alessia,ITA,1997,0:27.49,25 November 2023,Ostia,Italy
2,KRUGER Lisa,NED,2000,0:27.55,15 December 2023,Den Haag,Netherlands
3,PIERRE Emeline,FRA,1999,0:28.07,10 December 2023,Saint Nazaire,France
4,KAUL Susannah,EST,1999,0:28.74,1 December 2023,Tartu,Estonia
5,ROGERS Faye,GBR,2002,0:28.86,27 October 2023,Stavanger,Norway
6,REINICKE Cosima Carmen Cheyenne,GER,2003,0:29.35,19 November 2023,Düsseldorf,Germany
7,LORANDI Elodie,FRA,1989,0:29.36,10 December 2023,Saint Nazaire,France
8,ROULET Anaelle,FRA,1996,0:30.08,10 December 2023,Saint Nazaire,France
9,FALTMAN Helena,SWE,1980,0:31.86,1 December 2023,Tartu,Estonia
10,PALAZZETTI Daniela,ITA,1996,0:32.32,25 November 2023,Ostia,Italy
11,KVIST Freja,DEN,2006,0:32.39,1 December 2023,Tartu,Estonia
12,LINHARTOVA Eva,CZE,2000,0:33.91,1 April 2023,Sokolov,Czechia
13,CIKA Adlin,ITA,2008,0:34.92,25 November 2023,Ostia,Italy
